,Origin
0,2.0
1,3.0
2,1.0
3,0.0
4,2.0
5,2.0
6,0.0
7,1.0
8,2.0
9,1.0
10,1.0
11,2.0
12,0.0
13,0.0
14,1.0
15,2.0
16,1.0
17,3.0
18,1.0
19,1.0
20,1.0
21,3.0
22,1.0
23,2.0
24,0.0
25,1.0
26,1.0
27,1.0
28,1.0
29,3.0
30,2.0
31,1.0
32,1.0
33,1.0
34,1.0
35,3.0
36,0.0
37,0.0
38,0.0
39,3.0
40,2.0
41,0.0
42,3.0
43,0.0
44,2.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.0
51,2.0
52,1.0
53,0.0
54,0.0
55,2.0
56,3.0
57,2.0
58,2.0
59,3.0
60,2.0
61,1.0
62,2.0
63,1.0
64,2.0
65,3.0
66,3.0
67,1.0
68,0.0
69,0.0
70,3.0
71,3.0
72,0.0
73,3.0
74,3.0
75,1.0
76,0.0
77,2.0
78,0.0
79,1.0
80,0.0
81,1.0
82,2.0
83,3.0
84,2.0
85,3.0
86,1.0
87,3.0
88,1.0
89,2.0
90,1.0
91,2.0
92,2.0
93,0.0
94,2.0
95,0.0
96,2.0
97,0.0
98,0.0
99,0.0
100,2.0
101,2.0
102,2.0
103,3.0
104,3.0
105,3.0
106,2.0
107,2.0
108,2.0
109,0.0
110,2.0
111,0.0
112,3.0
113,2.0
114,0.0
115,3.0
116,3.0
117,2.0
118,1.0
119,2.0
120,0.0
121,3.0
122,2.0
123,0.0
124,1.0
125,2.0
126,1.0
127,3.0
128,2.0
129,2.0
130,0.0
131,0.0
132,2.0
133,1.0
134,3.0
135,0.0
136,0.0
137,2.0
138,3.0
139,1.0
140,3.0
141,3.0
142,0.0
143,1.0
144,1.0
145,0.0
146,2.0
147,0.0
148,3.0
149,1.0
150,0.0
151,2.0
152,3.0
153,2.0
154,1.0
155,1.0
156,1.0
157,1.0
158,3.0
159,1.0
160,0.0
161,2.0
162,0.0
163,2.0
164,3.0
165,3.0
166,1.0
167,3.0
168,0.0
169,1.0
170,0.0
171,1.0
172,3.0
173,3.0
174,0.0
175,0.0
176,3.0
177,3.0
178,2.0
179,3.0
180,3.0
181,2.0
182,2.0
183,1.0
184,2.0
185,3.0
186,1.0
187,1.0
188,0.0
189,1.0
190,0.0
191,2.0
192,1.0
193,0.0
194,1.0
195,0.0
196,3.0
197,3.0
198,2.0
199,3.0
200,1.0
201,1.0
202,0.0
203,1.0
204,3.0
205,1.0
206,3.0
207,3.0
208,1.0
209,2.0
210,3.0
211,3.0
212,3.0
213,0.0
214,0.0
215,1.0
216,2.0
217,2.0
218,2.0
219,0.0
220,2.0
221,3.0
222,3.0
223,0.0
224,0.0
225,0.0
226,3.0
227,2.0
228,3.0
229,1.0
230,2.0
231,0.0
232,1.0
233,2.0
234,2.0
235,0.0
236,0.0
237,1.0
238,2.0
239,1.0
240,3.0
241,2.0
242,2.0
243,1.0
244,3.0
245,2.0
246,3.0
247,0.0
248,2.0
249,1.0
250,1.0
251,3.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,1.0
258,2.0
259,3.0
260,3.0
261,3.0
262,0.0
263,0.0
264,3.0
265,1.0
266,3.0
267,3.0
268,1.0
269,2.0
270,3.0
271,0.0
272,3.0
273,2.0
274,1.0
275,3.0
276,1.0
277,3.0
278,2.0
279,1.0
280,0.0
281,2.0
282,1.0
283,1.0
284,1.0
285,3.0
286,3.0
287,1.0
288,2.0
289,3.0
290,0.0
291,0.0
292,2.0
293,3.0
294,1.0
295,3.0
296,3.0
297,0.0
298,0.0
299,1.0
300,3.0
301,1.0
302,0.0
303,2.0
304,2.0
305,2.0
306,2.0
307,2.0
308,0.0
309,3.0
310,1.0
311,0.0
312,0.0
313,3.0
314,0.0
315,1.0
316,3.0
317,2.0
318,2.0
319,0.0
